index	output_name	source_group	source_path	dataset_root	caption_mode	width	height	caption
1	frieren_hd_full_0001.png	single	data/raw/Frieren/Single/屏幕截图 2026-04-10 025054.png	data/datasets/frieren_hd_single80_v1	legacy_manual	2069	2048	sks_frieren, elf girl, long silver hair, pointy ears, white and gold robe, upper body portrait, front view, calm expression, stone wall background
2	frieren_hd_full_0002.png	single	data/raw/Frieren/Single/屏幕截图 2026-04-10 025202.png	data/datasets/frieren_hd_single80_v1	legacy_manual	2311	1990	sks_frieren, elf girl, long silver hair, pointy ears, white and gold robe, upper body portrait, cool blue lighting, night scene, looking to the side
3	frieren_hd_full_0003.png	single	data/raw/Frieren/Single/屏幕截图 2026-04-10 025231.png	data/datasets/frieren_hd_single80_v1	legacy_manual	2401	2159	sks_frieren, elf girl, long silver hair, pointy ears, white and gold robe, close-up portrait, cool blue lighting, holding a cup, quiet expression
4	frieren_hd_full_0004.png	single	data/raw/Frieren/Single/屏幕截图 2026-04-10 025251.png	data/datasets/frieren_hd_single80_v1	legacy_manual	2012	1933	sks_frieren, elf girl, long silver hair, pointy ears, white and gold robe, side profile portrait, soft indoor lighting, looking away
5	frieren_hd_full_0005.png	single	data/raw/Frieren/Single/屏幕截图 2026-04-10 025357.png	data/datasets/frieren_hd_single80_v1	legacy_manual	1870	1960	sks_frieren, elf girl, long silver hair, pointy ears, white and gold robe, close-up side profile, eyes closed, soft daylight, peaceful expression
6	frieren_hd_full_0006.png	single	data/raw/Frieren/Single/屏幕截图 2026-04-10 025534.png	data/datasets/frieren_hd_single80_v1	legacy_manual	2472	2159	sks_frieren, elf girl, long silver hair, pointy ears, white and gold robe, close-up portrait, looking at viewer, soft daylight, gentle expression
7	frieren_hd_full_0007.png	single	data/raw/Frieren/Single/屏幕截图 2026-04-10 025707.png	data/datasets/frieren_hd_single80_v1	legacy_manual	2930	2159	sks_frieren, elf girl, long silver hair, pointy ears, white and gold robe, dark silhouette portrait, low light, dramatic night scene
8	frieren_hd_full_0008.png	single	data/raw/Frieren/Single/屏幕截图 2026-04-10 025744.png	data/datasets/frieren_hd_single80_v1	legacy_manual	2266	2044	sks_frieren, elf girl, long silver hair, pointy ears, white and gold robe, close-up portrait, looking at viewer, neutral expression, clean background
9	frieren_hd_full_0009.png	single	data/raw/Frieren/Single/屏幕截图 2026-04-10 025857.png	data/datasets/frieren_hd_single80_v1	legacy_manual	3299	2159	sks_frieren, elf girl, long silver hair, pointy ears, white and gold robe, upper body portrait, glowing blue magic, spellcasting scene, dynamic lighting
10	frieren_hd_full_0010.png	single	data/raw/Frieren/Single/屏幕截图 2026-04-10 030144.png	data/datasets/frieren_hd_single80_v1	legacy_manual	2214	2088	sks_frieren, elf girl, long silver hair, pointy ears, white and gold robe, close-up portrait, eyes closed, warm lighting, serene expression
11	frieren_hd_full_0011.png	single	data/raw/Frieren/Single/屏幕截图 2026-04-10 030200.png	data/datasets/frieren_hd_single80_v1	legacy_manual	1860	1924	sks_frieren, elf girl, long silver hair, pointy ears, white and gold robe, back view, outdoor scene, walking away, town background
12	frieren_hd_full_0012.png	single	data/raw/Frieren/Single/屏幕截图 2026-04-10 030218.png	data/datasets/frieren_hd_single80_v1	legacy_manual	1330	1281	sks_frieren, elf girl, long silver hair, pointy ears, white and gold robe, full body, standing pose, outdoor courtyard, daylight
13	frieren_hd_full_0013.png	single	data/raw/Frieren/Single/屏幕截图 2026-04-10 030400.png	data/datasets/frieren_hd_single80_v1	legacy_manual	1365	1452	sks_frieren, elf girl, long silver hair, pointy ears, white and gold robe, full body, standing indoors, dim room lighting
14	frieren_hd_full_0014.png	single	data/raw/Frieren/Single/屏幕截图 2026-04-10 030450.png	data/datasets/frieren_hd_single80_v1	legacy_manual	2081	1979	sks_frieren, elf girl, long silver hair, pointy ears, white and gold robe, close-up portrait, warm sunset lighting, emotional scene
15	frieren_hd_full_0015.png	single	data/raw/Frieren/Single/屏幕截图 2026-04-10 030515.png	data/datasets/frieren_hd_single80_v1	legacy_manual	2896	2159	sks_frieren, elf girl, long silver hair, pointy ears, white and gold robe, upper body portrait, hand raised, forest background, daylight
16	frieren_hd_full_0016.png	single	data/raw/Frieren/Single/屏幕截图 2026-04-10 030533.png	data/datasets/frieren_hd_single80_v1	legacy_manual	2260	2006	sks_frieren, elf girl, long silver hair, pointy ears, white and gold robe, upper body portrait, outdoors, looking at viewer, soft daylight
17	frieren_hd_full_0017.png	single	data/raw/Frieren/Single/屏幕截图 2026-04-10 030629.png	data/datasets/frieren_hd_single80_v1	legacy_manual	2191	2048	sks_frieren, elf girl, long silver hair, pointy ears, white and gold robe, upper body portrait, front view, warm indoor lighting
18	frieren_hd_full_0018.png	single	data/raw/Frieren/Single/屏幕截图 2026-04-10 030648.png	data/datasets/frieren_hd_single80_v1	legacy_manual	1874	2011	sks_frieren, elf girl, long silver hair, pointy ears, white and gold robe, close-up portrait, side angle, serious expression, warm lighting
